SalePrice,1stFlrSF,2ndFlrSF,MSSubClass,LotArea,OverallCond,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd
208500,856,854,60,8450,5,1710,2,3,1,8
181500,1262,0,20,9600,8,1262,2,3,1,6
223500,920,866,60,11250,5,1786,2,3,1,6
140000,961,756,70,9550,5,1717,1,3,1,7
250000,1145,1053,60,14260,5,2198,2,4,1,9
143000,796,566,50,14115,5,1362,1,1,1,5
307000,1694,0,20,10084,5,1694,2,3,1,7
200000,1107,983,60,10382,6,2090,2,3,1,7
129900,1022,752,50,6120,5,1774,2,2,2,8
118000,1077,0,190,7420,6,1077,1,2,2,5
129500,1040,0,20,11200,5,1040,1,3,1,5
345000,1182,1142,60,11924,5,2324,3,4,1,11
144000,912,0,20,12968,6,912,1,2,1,4
279500,1494,0,20,10652,5,1494,2,3,1,7
157000,1253,0,20,10920,5,1253,1,2,1,5
132000,854,0,45,6120,8,854,1,2,1,5
149000,1004,0,20,11241,7,1004,1,2,1,5
90000,1296,0,90,10791,5,1296,2,2,2,6
159000,1114,0,20,13695,5,1114,1,3,1,6
139000,1339,0,20,7560,6,1339,1,3,1,6
325300,1158,1218,60,14215,5,2376,3,4,1,9
139400,1108,0,45,7449,7,1108,1,3,1,6
230000,1795,0,20,9742,5,1795,2,3,1,7
129900,1060,0,120,4224,7,1060,1,3,1,6
154000,1060,0,20,8246,8,1060,1,3,1,6
256300,1600,0,20,14230,5,1600,2,3,1,7
134800,900,0,20,7200,7,900,1,3,1,5
306000,1704,0,20,11478,5,1704,2,3,1,7
207500,1600,0,20,16321,6,1600,1,2,1,6
68500,520,0,30,6324,6,520,1,1,1,4
40000,649,668,70,8500,4,1317,1,3,1,6
149350,1228,0,20,8544,6,1228,1,3,1,6
179900,1234,0,20,11049,5,1234,2,3,1,7
165500,1700,0,20,10552,5,1700,1,4,1,6
277500,1561,0,120,7313,5,1561,2,2,1,6
309000,1132,1320,60,13418,5,2452,3,4,1,9
145000,1097,0,20,10859,5,1097,1,3,1,6
153000,1297,0,20,8532,6,1297,1,3,1,5
109000,1057,0,20,7922,7,1057,1,3,1,5
82000,1152,0,90,6040,5,1152,2,2,2,6
160000,1324,0,20,8658,5,1324,2,3,1,6
170000,1328,0,20,16905,6,1328,1,2,1,5
144000,884,0,85,9180,7,884,1,2,1,5
